"REPORTER","Reporter Country","PARTNER","Partner Country","COM_H3","Commodity","MEASURE","Measure","TIME","Time","Value","Flag Codes","Flags"
"BRA","Brazil","PRY","Paraguay","7207","7207: Semi-finished products of iron or non-alloy steel.","1","Value","2017","2017",0.043,,
"BRA","Brazil","PRY","Paraguay","7207","7207: Semi-finished products of iron or non-alloy steel.","1","Value","2018","2018",0.044,,
"BRA","Brazil","PRY","Paraguay","7207","7207: Semi-finished products of iron or non-alloy steel.","1","Value","2019","2019",0.043,,
"BRA","Brazil","PRY","Paraguay","7207","7207: Semi-finished products of iron or non-alloy steel.","1","Value","2020","2020",0.043,,
"BRA","Brazil","PRY","Paraguay","1212","1212: Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sati","1","Value","2015","2015",0.021,,
"BRA","Brazil","PRY","Paraguay","1212","1212: Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sati","1","Value","2016","2016",0.024,,
"BRA","Brazil","PRY","Paraguay","1212","1212: Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sati","1","Value","2017","2017",0.021,,
"BRA","Brazil","PRY","Paraguay","1212","1212: Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sati","1","Value","2018","2018",0.024,,
"BRA","Brazil","PRY","Paraguay","1212","1212: Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sati","1","Value","2019","2019",0.027,,
"BRA","Brazil","PRY","Paraguay","1212","1212: Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sati","1","Value","2020","2020",0.03,,
"BRA","Brazil","PRY","Paraguay","3910","3910: Silicones in primary forms.","1","Value","2015","2015",0.025,,
"BRA","Brazil","PRY","Paraguay","3910","3910: Silicones in primary forms.","1","Value","2016","2016",0.024,,
"BRA","Brazil","PRY","Paraguay","3910","3910: Silicones in primary forms.","1","Value","2017","2017",0.054,,
"BRA","Brazil","PRY","Paraguay","3910","3910: Silicones in primary forms.","1","Value","2018","2018",0.038,,
"BRA","Brazil","PRY","Paraguay","3910","3910: Silicones in primary forms.","1","Value","2019","2019",0.023,,
"BRA","Brazil","PRY","Paraguay","3910","3910: Silicones in primary forms.","1","Value","2020","2020",0.008,,
"BRA","Brazil","PRY","Paraguay","2304","2304: Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil.","1","Value","2015","2015",0.032,,
"BRA","Brazil","PRY","Paraguay","2304","2304: Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil.","1","Value","2016","2016",0.043,,
"BRA","Brazil","PRY","Paraguay","2304","2304: Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil.","1","Value","2017","2017",0.053,,
"BRA","Brazil","PRY","Paraguay","2304","2304: Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil.","1","Value","2018","2018",0.048,,
"BRA","Brazil","PRY","Paraguay","2304","2304: Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil.","1","Value","2019","2019",0.042,,
"BRA","Brazil","PRY","Paraguay","2304","2304: Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil.","1","Value","2020","2020",0.037,,
"BRA","Brazil","PRY","Paraguay","7801","7801: Unwrought lead.","1","Value","2015","2015",0.008,,
"BRA","Brazil","PRY","Paraguay","7801","7801: Unwrought lead.","1","Value","2016","2016",0.007,,
"BRA","Brazil","PRY","Paraguay","7801","7801: Unwrought lead.","1","Value","2017","2017",0.012,,
"BRA","Brazil","PRY","Paraguay","7801","7801: Unwrought lead.","1","Value","2018","2018",0.011,,
"BRA","Brazil","PRY","Paraguay","7801","7801: Unwrought lead.","1","Value","2019","2019",0.01,,
"BRA","Brazil","PRY","Paraguay","7801","7801: Unwrought lead.","1","Value","2020","2020",0.009,,
"BRA","Brazil","PRY","Paraguay","1006","1006: Rice.","1","Value","2015","2015",0.058,,
"BRA","Brazil","PRY","Paraguay","1006","1006: Rice.","1","Value","2016","2016",0.057,,
"BRA","Brazil","PRY","Paraguay","1006","1006: Rice.","1","Value","2017","2017",0.062,,
"BRA","Brazil","PRY","Paraguay","1006","1006: Rice.","1","Value","2018","2018",0.059,,
"BRA","Brazil","PRY","Paraguay","1006","1006: Rice.","1","Value","2019","2019",0.057,,
"BRA","Brazil","PRY","Paraguay","1006","1006: Rice.","1","Value","2020","2020",0.055,,
"BRA","Brazil","PRY","Paraguay","3209","3209: Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in an aqueous medium.","1","Value","2015","2015",0.019,,
"BRA","Brazil","PRY","Paraguay","3209","3209: Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in an aqueous medium.","1","Value","2016","2016",0.044,,
"BRA","Brazil","PRY","Paraguay","3209","3209: Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in an aqueous medium.","1","Value","2017","2017",0.013,,
"BRA","Brazil","PRY","Paraguay","3209","3209: Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in an aqueous medium.","1","Value","2018","2018",0.01,,
"BRA","Brazil","PRY","Paraguay","3209","3209: Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in an aqueous medium.","1","Value","2019","2019",0.008,,
"BRA","Brazil","PRY","Paraguay","3209","3209: Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in an aqueous medium.","1","Value","2020","2020",0.005,,
"BRA","Brazil","PRY","Paraguay","8478","8478: Machinery for preparing or making up tobacco, not specified or included elsewhere in this Chapter.","1","Value","2015","2015",0.089,,
"BRA","Brazil","PRY","Paraguay","8478","8478: Machinery for preparing or making up tobacco, not specified or included elsewhere in this Chapter.","1","Value","2016","2016",0.088,,
"BRA","Brazil","PRY","Paraguay","8478","8478: Machinery for preparing or making up tobacco, not specified or included elsewhere in this Chapter.","1","Value","2017","2017",0.088,,
"BRA","Brazil","PRY","Paraguay","8478","8478: Machinery for preparing or making up tobacco, not specified or included elsewhere in this Chapter.","1","Value","2018","2018",0.09,,
"BRA","Brazil","PRY","Paraguay","8478","8478: Machinery for preparing or making up tobacco, not specified or included elsewhere in this Chapter.","1","Value","2019","2019",0.09,,
"BRA","Brazil","PRY","Paraguay","8478","8478: Machinery for preparing or making up tobacco, not specified or included elsewhere in this Chapter.","1","Value","2020","2020",0.088,,
"BRA","Brazil","PRY","Paraguay","6506","6506: Other headgear, whether or not lined or trimmed.","1","Value","2015","2015",0.09,,
"BRA","Brazil","PRY","Paraguay","6506","6506: Other headgear, whether or not lined or trimmed.","1","Value","2016","2016",0.089,,
"BRA","Brazil","PRY","Paraguay","6506","6506: Other headgear, whether or not lined or trimmed.","1","Value","2017","2017",0.088,,
"BRA","Brazil","PRY","Paraguay","6506","6506: Other headgear, whether or not lined or trimmed.","1","Value","2018","2018",0.09,,
"BRA","Brazil","PRY","Paraguay","6506","6506: Other headgear, whether or not lined or trimmed.","1","Value","2019","2019",0.09,,
"BRA","Brazil","PRY","Paraguay","6506","6506: Other headgear, whether or not lined or trimmed.","1","Value","2020","2020",0.089,,
"BRA","Brazil","PRY","Paraguay","6109","6109: T-shirts, singlets and other vests, knitted or crocheted.","1","Value","2015","2015",0.01,,
"BRA","Brazil","PRY","Paraguay","6109","6109: T-shirts, singlets and other vests, knitted or crocheted.","1","Value","2016","2016",0.006,,
"BRA","Brazil","PRY","Paraguay","6109","6109: T-shirts, singlets and other vests, knitted or crocheted.","1","Value","2017","2017",0.003,,
"BRA","Brazil","PRY","Paraguay","6109","6109: T-shirts, singlets and other vests, knitted or crocheted.","1","Value","2018","2018",0.004,,
"BRA","Brazil","PRY","Paraguay","6109","6109: T-shirts, singlets and other vests, knitted or crocheted.","1","Value","2019","2019",0.004,,
"BRA","Brazil","PRY","Paraguay","6109","6109: T-shirts, singlets and other vests, knitted or crocheted.","1","Value","2020","2020",0.005,,
"BRA","Brazil","PRY","Paraguay","2403","2403: Other manufactured tobacco and manufactured tobacco substitutes; homogenised or reconstituted tobacco; tobacco extracts and essences.","1","Value","2015","2015",0.015,,
"BRA","Brazil","PRY","Paraguay","2403","2403: Other manufactured tobacco and manufactured tobacco substitutes; homogenised or reconstituted tobacco; tobacco extracts and essences.","1","Value","2016","2016",0.022,,
"BRA","Brazil","PRY","Paraguay","2403","2403: Other manufactured tobacco and manufactured tobacco substitutes; homogenised or reconstituted tobacco; tobacco extracts and essences.","1","Value","2017","2017",0.017,,
"BRA","Brazil","PRY","Paraguay","2403","2403: Other manufactured tobacco and manufactured tobacco substitutes; homogenised or reconstituted tobacco; tobacco extracts and essences.","1","Value","2018","2018",0.016,,
