reporter,year,hs_code,applied_tariff,commodity
Brazil,2023,30364,8.0,"Frozen haddock ""Melanogrammus aeglefinus"""
Brazil,2023,30365,8.0,"Frozen coalfish ""Pollachius virens"""
Brazil,2023,30366,8.0,"Frozen hake ""Merluccius spp., Urophycis spp."""
Brazil,2023,30367,8.0,"Frozen Alaska pollack ""Theragra chalcogramma"""
Brazil,2023,30368,8.0,"Frozen blue whiting ""Micromesistius poutassou, Micromesistius australis"""
Brazil,2023,30369,8.0,"Frozen fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, haddock, coalfish, hake, Alaska pollack and blue whiting)"
Brazil,2023,30381,8.0,Frozen dogfish and other sharks
Brazil,2023,30382,8.0,"Frozen rays and skates ""Rajidae"""
Brazil,2023,30383,8.0,"Frozen toothfish ""Dissostichus spp."""
Brazil,2023,30384,8.0,"Frozen sea bass ""Dicentrarchus spp."""
Brazil,2023,30389,8.0,"Frozen fish, n.e.s."
Brazil,2023,30391,8.0,"Frozen fish livers, roes and milt"
Brazil,2023,30392,8.0,Frozen shark fins
Brazil,2023,30399,8.0,"Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt and shark fins)"
Brazil,2023,30431,8.0,"Fresh or chilled fillets of tilapia ""Oreochromis spp."""
Brazil,2023,30432,8.0,"Fresh or chilled fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."""
Brazil,2023,30433,8.0,"Fresh or chilled fillets of Nile perch ""Lates niloticus"""
Brazil,2023,30439,8.0,"Fresh or chilled fillets of carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."",  eels ""Anguilla spp."" and snakeheads ""Channa spp."""
Brazil,2023,30441,8.0,"Fresh or chilled fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
Brazil,2023,30442,8.0,"Fresh or chilled fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
Brazil,2023,30443,8.0,"Fresh or chilled fillets of flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"""
Brazil,2023,30444,8.0,"Fresh or chilled fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae"
Brazil,2023,30445,8.0,"Fresh or chilled fillets of swordfish ""Xiphias gladius"""
Brazil,2023,30446,8.0,"Fresh or chilled fillets of toothfish ""Dissostichus spp."""
Brazil,2023,30447,8.0,Fresh or chilled fillets of dogfish and other sharks
Brazil,2023,30448,8.0,"Fresh or chilled fillets of rays and skates ""Rajidae"""
Brazil,2023,30449,8.0,"Fresh or chilled fillets of fish, n.e.s."
Brazil,2023,30451,8.0,"Fresh or chilled meat, whether or not minced, of tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."", carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."", eels ""Anguilla spp."", Nile perch ""Lates niloticus"" and snakeheads ""Channa spp."" (excl. fillets)"
Brazil,2023,30452,8.0,"Fresh or chilled meat, whether or not minced, of salmonidae (excl. fillets)"
Brazil,2023,30453,8.0,"Fresh or chilled meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. fillets)"
Brazil,2023,30454,8.0,"Fresh or chilled meat, whether or not minced, of swordfish ""Xiphias gladius"" (excl. fillets)"
Brazil,2023,30455,8.0,"Fresh or chilled meat, whether or not minced, of toothfish ""Dissostichus spp."" (excl. fillets)"
Brazil,2023,30456,8.0,"Fresh or chilled meat, whether or not minced, of dogfish and other sharks (excl. fillets)"
Brazil,2023,30457,8.0,"Fresh or chilled meat, whether or not minced, of rays and skates ""Rajidae"" (excl. fillets)"
Brazil,2023,30459,8.0,"Fresh or chilled fish meat, whether or not minced (excl. all fillets, tilapias, catfish, carp, eels, Nile perch, snakeheads, salmonidae, swordfish, toothfish, rays, skates, dogfish and other sharks, and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)"
Brazil,2023,30461,8.0,"Frozen fillets of tilapia ""Oreochromis spp."""
Brazil,2023,30462,8.0,"Frozen fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."""
Brazil,2023,30463,8.0,"Frozen fillets of Nile perch ""Lates niloticus"""
Brazil,2023,30469,8.0,"Frozen fillets of carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."", eels ""Anguilla spp."" and snakeheads ""Channa spp."""
Brazil,2023,30471,8.0,"Frozen fillets of cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"""
Brazil,2023,30472,8.0,"Frozen fillets of haddock ""Melanogrammus aeglefinus"""
Brazil,2023,30473,8.0,"Frozen fillets of coalfish ""Pollachius virens"""
Brazil,2023,30474,8.0,"Frozen fillets of hake ""Merluccius spp., Urophycis spp."""
Brazil,2023,30475,8.0,"Frozen fillets of Alaska pollack ""Theragra chalcogramma"""
Brazil,2023,30479,8.0,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, haddock, coalfish, hake and Alaska pollack)"
Brazil,2023,30481,8.0,"Frozen fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
Brazil,2023,30482,8.0,"Frozen fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
